MODEL_YEAR,MFR,MFR_CD,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Cnfg Num,Test Veh Displ (L),ACTUAL_TESTED_TESTGROUP,Vehicle Type,RATED_HP,NUM_CYLINDRS_ROTORS,ENGINE_CD,TESTED_TRANS_CD,TESTED_TRANS,# of Gears,TRANS_LOCKUP_YN,DRIVE_SYSTEM,DRIVE_SYSTEM_DESC,TOD_CD,TRANS_OVER_DRIVE,ETW,AXLE_RATIO,NV_RATIO,SIL_USAGE_CD,SIL_USAGE,TEST_NUMBER,Analytically Derived FE,TEST_PRC_CD,TEST_PROCEDURE,TEST_FUEL_CD,TEST_FUEL,TEST_CATEGORY,THC,CO,CO2,NOx,PM,RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,TARGET_COEF_A,TARGET_COEF_B,TARGET_COEF_C,SET_COEF_A,SET_COEF_B,SET_COEF_C,ATD_CODE,AFTERTREATMENT_DEVICE,POLICE_EMERG_VEH_YN,AVG_GRP_IND,AVG_WEIGHT_FACTOR,AVG_METHOD_CD,AVERAGING_METHOD
2009,Audi,ADX,AUDI,A6 QUATTRO,93UF-CAQ,1,2.995,9ADXV03.03UF,Car,300,6,CCAA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,2.86,27,1,Not eqipped,9ADX10001319,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0113,0.34,252,0.003,,35,MPG,,,,,38.9,0.474,0.0174,9.5,0.34,0.0176,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,A6 QUATTRO,93UF-CAQ,1,2.995,9ADXV03.03UF,Car,300,6,CCAA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,2.86,27,1,Not eqipped,9ADX10001320,No,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.31,1.72,480,0.025,,,MPG,15.4,18,22,,38.9,0.474,0.0174,9.5,0.34,0.0176,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,A6 QUATTRO,93UF-CAQ,1,2.995,9ADXV03.03UF,Car,300,6,CCAA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,2.86,27,1,Not eqipped,9ADX10001321,No,90,US06,61,Tier 2 Cert Gasoline,US06,0.025,0.89,360,0.007,,,MPG,16.8,28.2,,,38.9,0.474,0.0174,9.5,0.34,0.0176,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,A6 QUATTRO,93UF-CAQ,1,2.995,9ADXV03.03UF,Car,300,6,CCAA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,2.86,27,1,Not eqipped,9ADX10001322,No,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0497,0.96,468,0.006,,,MPG,,,,,38.9,0.474,0.0174,9.5,0.34,0.0176,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,A6 QUATTRO,93UF-CAQ,1,2.995,9ADXV03.03UF,Car,300,6,CCAA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,2.86,27,1,Not eqipped,9ADX10001323,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0338,0.45,403,0.022,,21.9,MPG,20.5,21.2,24.8,,38.9,0.474,0.0174,9.5,0.34,0.0176,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,Audi,Q5,93UC-Q5A,0,3.179,9ADXT03.23UC,Truck,270,6,CALB,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,4.22,35.2,1,Not eqipped,9ADX10000643,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0007,0.26,287,0.005,,30.7,MPG,30.7,,,,33,0.29,0.0171,5,0.15,0.0172,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,Audi,Q5,93UC-Q5A,0,3.179,9ADXT03.23UC,Truck,270,6,CALB,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,4.22,35.2,1,Not eqipped,9ADX10000646,No,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.6673,1.33,467,0.057,,,MPG,15.5,18.8,22.1,,33,0.29,0.0171,5,0.15,0.0172,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,Audi,Q5,93UC-Q5A,0,3.179,9ADXT03.23UC,Truck,270,6,CALB,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,4.22,35.2,1,Not eqipped,9ADX10001141,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0267,0.26,389,0.032,,22.7,MPG,21.3,22.4,24.4,,33,0.29,0.0171,5,0.15,0.0172,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,Audi,Q5,93UC-Q5A,0,3.179,9ADXT03.23UC,Truck,270,6,CALB,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,4.22,35.2,1,Not eqipped,9ADX10001384,No,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0062,0.23,475,0.057,,,MPG,18.6,,,,33,0.29,0.0171,5,0.15,0.0172,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,Audi,Q5,93UC-Q5A,0,3.179,9ADXT03.23UC,Truck,270,6,CALB,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,4.22,35.2,1,Not eqipped,9ADX10001385,No,90,US06,61,Tier 2 Cert Gasoline,US06,0.0106,0.88,411,0.012,,,MPG,14.4,24.9,,,33,0.29,0.0171,5,0.15,0.0172,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX10001340,No,90,US06,19,Cert Diesel 7-15 ppm Sulfur,US06,0.0005,0.006,438,0.2086,0.002,,MPG,15.8,26.9,,,58,0.434,0.0272,-2,-0.074,0.0287,SCR,Selective Catalytic Reduction,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX10001340,No,90,US06,19,Cert Diesel 7-15 ppm Sulfur,US06,0.0005,0.006,438,0.2086,0.002,,MPG,15.8,26.9,,,58,0.434,0.0272,-2,-0.074,0.0287,OC,Oxidation catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX10001340,No,90,US06,19,Cert Diesel 7-15 ppm Sulfur,US06,0.0005,0.006,438,0.2086,0.002,,MPG,15.8,26.9,,,58,0.434,0.0272,-2,-0.074,0.0287,DPF,Diesel Particulate Filter,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX10001341,No,95,SC03,19,Cert Diesel 7-15 ppm Sulfur,SC03,0.0069,0.005,536,0.0742,0.003,,MPG,19,,,,58,0.434,0.0272,-2,-0.074,0.0287,DPF,Diesel Particulate Filter,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX10001341,No,95,SC03,19,Cert Diesel 7-15 ppm Sulfur,SC03,0.0069,0.005,536,0.0742,0.003,,MPG,19,,,,58,0.434,0.0272,-2,-0.074,0.0287,OC,Oxidation catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX10001341,No,95,SC03,19,Cert Diesel 7-15 ppm Sulfur,SC03,0.0069,0.005,536,0.0742,0.003,,MPG,19,,,,58,0.434,0.0272,-2,-0.074,0.0287,SCR,Selective Catalytic Reduction,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX10002091,No,11,Cold CO,19,Cert Diesel 7-15 ppm Sulfur,FTP,0.027,0.18,547,,,,MPG,15.5,18.8,21.3,,58,0.434,0.0272,-2,-0.074,0.0287,DPF,Diesel Particulate Filter,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX10002091,No,11,Cold CO,19,Cert Diesel 7-15 ppm Sulfur,FTP,0.027,0.18,547,,,,MPG,15.5,18.8,21.3,,58,0.434,0.0272,-2,-0.074,0.0287,OC,Oxidation catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX10002091,No,11,Cold CO,19,Cert Diesel 7-15 ppm Sulfur,FTP,0.027,0.18,547,,,,MPG,15.5,18.8,21.3,,58,0.434,0.0272,-2,-0.074,0.0287,SCR,Selective Catalytic Reduction,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX91000016,No,2,CVS 75 and later (w/o can. load),19,Cert Diesel 7-15 ppm Sulfur,FTP,0.0431051,0.177454,514.4384659,0.0335509,0.0021942,19.8,MPG,17.5751624,19.6128322,22.1686467,,58,0.434,0.0272,-2,-0.074,0.0287,SCR,Selective Catalytic Reduction,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX91000016,No,2,CVS 75 and later (w/o can. load),19,Cert Diesel 7-15 ppm Sulfur,FTP,0.0431051,0.177454,514.4384659,0.0335509,0.0021942,19.8,MPG,17.5751624,19.6128322,22.1686467,,58,0.434,0.0272,-2,-0.074,0.0287,DPF,Diesel Particulate Filter,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX91000016,No,2,CVS 75 and later (w/o can. load),19,Cert Diesel 7-15 ppm Sulfur,FTP,0.0431051,0.177454,514.4384659,0.0335509,0.0021942,19.8,MPG,17.5751624,19.6128322,22.1686467,,58,0.434,0.0272,-2,-0.074,0.0287,OC,Oxidation catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.9,32.4,1,Not eqipped,9ADX91000017,No,3,HWFE,19,Cert Diesel 7-15 ppm Sulfur,HWY,0.0008671,0.0023995,306.0102034,0.0226385,0.0011439,33.3,MPG,33.2525099,,,,58,0.434,0.0272,-2,-0.074,0.0287,OC,Oxidation catalyst,N,,,N,No averaging
